"ccnl dirigenti dipendenti dalle imprese creditizie, finanziarie e strumentali 2015 2018 - 2015",ccnl-dirigenti-dipendenti-dalle-imprese-creditizie-finanziarie-e-strumentali-2015-2018,Italy,it,2015
ccnl dipendenti imprese artigiane e delle piccole e medie imprese dell'area comunicazione 2016 2018.html - 2016,ccnl-dipendenti-imprese-artigiane-e-delle-piccole-e-medie-imprese-dell-area-comunicazione-2016-2018-html,Italy,it,2016
"ccnl Quadri direttivi e per il personale delle aree professionali dipendenti dalle imprese creditizie, finanziarie e strumentali 2015 2018 - 2015",ccnl-quadri-direttivi-e-per-il-personale-delle-aree-professionali-dipendenti-dalle-imprese-creditizie-finanziarie-e-strumentali-2015-2018,Italy,it,2015
ccnl università pontificie e facoltà ecclesiastiche 2017 2020 - 2017,ccnl-universit-pontificie-e-facolt-ecclesiastiche-2017-2020,Italy,it,2017
ccnl settore piccola e media industria legno mobili arredamento sughero forestale 2013 2016 - 2013,ccnl-settore-piccola-e-media-industria-legno-mobili-arredamento-sughero-forestale-2013-2016,Italy,it,2013
ccnl per i lavoratori addetti al servizio elettrico 2019 2021 - 2019,ccnl-per-i-lavoratori-addetti-al-servizio-elettrico-2019-2021,Italy,it,2019
"ccnl dipendenti delle aziende, società ed enti pubblici economici aderenti a federcasa 2016-2018 - 2016",ccnl-dipendenti-delle-aziende-societ-ed-enti-pubblici-economici-aderenti-a-federcasa-2016-2018,Italy,it,2016
ccnl impiegati amministrativi agenzie generali di generali Italia S.P.A 2018-2020 - 2018,ccnl-impiegati-amministrativi-agenzie-generali-di-generali-italia-s-p-a-2018-2020,Italy,it,2018
ccnl consorzi ed enti di sviluppo industriale 2019 - 2021 - 2019,ccnl-consorzi-ed-enti-di-sviluppo-industriale-2019---2021,Italy,it,2019
ccnl dipendenti avis 2010 - 2012 - 2010,ccnl-dipendenti-avis-2010---2012,Italy,it,2010
