cba,language,readability,diveristy,accessibility
kaupan-ty-ehtosopimus-ja-palkkaliite-2014---2017,fi,1.0,1.0,1.0
v-hitt-iskaupan-esimiesten-ty-ehtosopimus---2014,fi,1.0,1.0,1.0
suomen-l-hikaupan-myym-l-p-llik-iden-ty-ehtosopimus-2014---2017,fi,1.0,1.0,1.0
collective-bargaining-agreement-between-food-and-allied-industries-meat-fish-poultry-abattoir-and-meat-processing-sector-and-the-meat-fish-poultry-abattoir-and-meat-processing-workers-union---2013,en,3.0,3.25,3.12
collective-bargaining-agreement-between-soft-drinks-manufacturing-industry-and-the-soft-drinks-manufacturing-workers-union---2014,en,3.75,3.5,3.62
collective-bargaining-agreement-between-the-zimbabwe-national-security-association-and-zimbabwe-security-guard-union-and-private-security-workers-union---2012,en,3.25,3.0,3.12
collective-bargaining-agreement-between-the-employers-association-of-the-food-processing-industry-and-food-processing-workers-union---2011,en,2.75,2.75,2.75
collective-bargaining-agreement-between-detergents-edible-oils-and-fats-employers-association-and-the-detergents-edible-oils-and-fats-workers-union-of-zimbabwe---2014,en,4.0,3.0,3.5
collective-bargaining-agreement-between-the-construction-industry-federation-of-zimbabwe-and-the-zimbabwe-building-contractors-association-and-the-zimbabwe-construction-and-allied-trades-workers-union---2012,en,2.75,2.5,2.62
collective-bargaining-agreement-between-the-catering-employers-association-of-zimbabwe-and-the-zimbabwean-catering-and-hotel-workers-union---2012,en,2.75,3.0,2.88
collective-bargaining-agreement-between-food-and-allied-industries-meat-fish-poultry-abattoir-and-meat-processing-sector-the-employer-s-association-and-the-meat-fish-poultry-abattoir-and-meat-processing-workers-union---2013,en,3.0,3.25,3.12
collective-bargaining-agreement-between-the-banking-employers-association-and-the-zimbabwe-banks-and-allied-workers-union---2000,en,3.5,2.75,3.12
collective-bargaining-agreement-between-the-agricultural-industry-and-the-general-agriculture-and-plantation-workers-union-of-zimbabwe-gapwuz---2012,en,2.0,3.0,2.5
-_2016-2017,bg,1.0,1.0,1.0
kz_euba_2018,sk,3.67,2.5,3.0
pkz_ssc_2018_2021,sk,1.33,1.5,1.43
zsr_2019-20,sk,1.67,2.0,1.86
pkz_2018-2021,sk,1.33,2.75,2.14
zoes_zzes_2019_2020,sk,3.33,2.75,3.0
cba_slovakia_zocr_ozpocr,sk,1.0,2.0,1.57
kolektivna-zmuva---coop---8-1-2014,sk,2.67,2.5,2.57
kolektivn-smlouva-mezi-spole-nost-penny-market-s-r-o-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-zem-d-lstv-a-v-ivy---asociace-svobodn-ch-odbor-r-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-obchodu_2016,cs,1.0,1.0,1.0
kolektivn-smlouva-mezi-spole-nost-billa-spol-s-r-o-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-obchodu-a-odborov-m-svazem-pracovn-k-zem-d-lstv-a-v-ivy---asociace-svobodn-ch-odbor-r-p-sob-c-ch-u-obchodn-spole-nosti-billa_2016-2017,cs,1.0,1.0,1.0
kolektivn-smlouvu-vy-ho-stupn-mezi-odborov-m-svazem-pracovn-k-obchodu-a-svazem-obchodu-a-cestovn-ho-ruchu-r_2015-2016,cs,1.0,1.0,1.0
